# EDGA-QED: state=0 mode=genetic completeness=0.9915803236 n_det=17030 gen=2 n_ph_max=10
  -0.042590671916971    0  3142424311  |2 3 4 5 6  |0 2 4 6 7 
  -0.042590585890027    0  2434111234  |0 1 3 7 9  |1 2 3 8 9 
  -0.042588309399135    0  3424111324  |1 2 3 8 9  |0 1 3 7 9 
  -0.042588261048939    0  2143434211  |0 2 4 6 7  |2 3 4 5 6 
  -0.040892752816885    0  4143234112  |0 2 4 6 9  |0 2 3 5 6 
   0.040892553190178    0  4324113124  |0 2 3 8 9  |0 1 3 6 9 
   0.040890950098503    0  4234112134  |0 1 3 6 9  |0 2 3 8 9 
  -0.040890651840678    0  4142324113  |0 2 3 5 6  |0 2 4 6 9 
  -0.040639951208748    0  3442121314  |1 2 3 5 9  |0 1 2 7 9 
  -0.040639909297608    0  2134414231  |0 3 4 6 7  |2 3 4 6 8 
  -0.040637693636189    0  3124414321  |2 3 4 6 8  |0 3 4 6 7 
  -0.040637653128701    0  2443131214  |0 1 2 7 9  |1 2 3 5 9 
   0.040406972057080    0  4234413121  |0 1 3 4 8  |0 2 3 4 6 
  -0.040406916402449    0  4442331112  |0 1 2 3 9  |0 1 2 4 5 
   0.040406889703276    0  4324412131  |0 2 3 4 6  |0 1 3 4 8 
  -0.040406837567406    0  4443221113  |0 1 2 4 5  |0 1 2 3 9 
  -0.039488869252775    0  4413231142  |0 1 4 8 9  |0 1 3 5 8 
   0.039488665373527    0  4321443121  |0 2 4 5 8  |0 1 4 5 6 
   0.039487148451500    0  4231442131  |0 1 4 5 6  |0 2 4 5 8 
  -0.039486869494489    0  4412321143  |0 1 3 5 8  |0 1 4 8 9 
  -0.039456728802978    0  3412421341  |1 3 4 5 8  |0 1 4 7 8 
  -0.039456651771582    0  2431441231  |0 1 4 5 7  |1 2 4 5 8 
  -0.039454539770229    0  3421441321  |1 2 4 5 8  |0 1 4 5 7 
  -0.039454524132596    0  2413431241  |0 1 4 7 8  |1 3 4 5 8 
  -0.038494568680318    0  4432421131  |0 1 3 4 5  |0 1 2 4 8 
  -0.038490987398076    0  4423431121  |0 1 2 4 8  |0 1 3 4 5 
  -0.037487258902986    0  1443231412  |1 2 4 7 9  |1 2 3 5 7 
   0.037487065064664    0  1324413421  |2 3 4 7 8  |1 3 4 6 7 
   0.037485620935528    0  1234412431  |1 3 4 6 7  |2 3 4 7 8 
  -0.037485311388999    0  1442321413  |1 2 3 5 7  |1 2 4 7 9 
  -0.035361446310326    0  3444211312  |1 2 3 4 9  |0 1 2 3 7 
   0.035361415771631    0  2344413211  |0 2 3 4 7  |1 2 3 4 6 
   0.035358697349842    0  3244412311  |1 2 3 4 6  |0 2 3 4 7 
  -0.035358459484983    0  2444311213  |0 1 2 3 7  |1 2 3 4 9 
   0.031533841638477    0  4441431112  |0 1 2 4 9  |0 1 2 4 5 
  -0.031533643962710    0  4414413121  |0 1 3 4 8  |0 1 3 4 6 
   0.031533477494508    0  4414412131  |0 1 3 4 6  |0 1 3 4 8 
  -0.031533390965161    0  4441421113  |0 1 2 4 5  |0 1 2 4 9 
  -0.030223345809436    0  1444421311  |1 2 3 4 5  |1 2 3 4 7 
  -0.030223175523133    0  1444411231  |1 2 3 4 7  |1 2 3 4 8 
   0.030222714125655    0  1444411321  |1 2 3 4 8  |1 2 3 4 7 
   0.030222672430293    0  1444431211  |1 2 3 4 7  |1 2 3 4 5 
  -0.029423127862516    0  4414411231  |0 1 3 4 7  |0 1 3 4 8 
  -0.029423010735625    0  4441421311  |0 1 2 4 5  |0 1 2 4 7 
   0.029422312048472    0  4441431211  |0 1 2 4 7  |0 1 2 4 5 
   0.029422304169717    0  4414411321  |0 1 3 4 8  |0 1 3 4 7 
  -0.028595527502177    0  4144413121  |0 2 3 4 8  |0 2 3 4 6 
   0.028595459660181    0  4444131112  |0 1 2 3 9  |0 1 2 3 5 
   0.028594766172451    0  4144412131  |0 2 3 4 6  |0 2 3 4 8 
  -0.028594693612565    0  4444121113  |0 1 2 3 5  |0 1 2 3 9 
  -0.027122698259281    0  4443211114  |0 1 2 4 9  |0 1 2 3 9 
  -0.027122651256655    0  4324414111  |0 2 3 4 6  |0 1 3 4 6 
   0.027121728189238    0  4234414111  |0 1 3 4 6  |0 2 3 4 6 
   0.027121709812119    0  4442311114  |0 1 2 3 9  |0 1 2 4 9 
   0.025863196745944    0  2434411141  |0 1 3 4 8  |1 2 3 4 8 
  -0.025863183026580    0  3442441111  |1 2 3 4 5  |0 1 2 4 5 
   0.025862298817971    0  2443441111  |0 1 2 4 5  |1 2 3 4 5 
  -0.025862201730111    0  3424411141  |1 2 3 4 8  |0 1 3 4 8 
  -0.025254418654537    0  3442411411  |1 2 3 4 7  |0 1 2 4 7 
   0.025254393126057    0  2434411411  |0 1 3 4 7  |1 2 3 4 7 
  -0.025253785615258    0  3424411411  |1 2 3 4 7  |0 1 3 4 7 
   0.025253601638567    0  2443411411  |0 1 2 4 7  |1 2 3 4 7 
   0.024358000035777    0  4111144144  |0 5 6 8 9  |0 5 6 8 9 
