# EDGA: state=0 mode=genetic completeness=0.9900075036 n_det=11857 gen=27
   0.013608692788951  1344424111  |2 3 4 5 6  |1 2 3 4 6 
   0.013608630802061  4442111143  |0 1 2 3 8  |0 1 2 8 9 
  -0.013608625515410  4443111142  |0 1 2 8 9  |0 1 2 3 8 
   0.013553681865699  4214414311  |0 1 3 4 6  |0 3 4 6 7 
  -0.013553681707776  4314414211  |0 3 4 6 7  |0 1 3 4 6 
  -0.013553639718298  4413411241  |0 1 4 7 8  |0 1 3 4 8 
   0.013553638756888  4412411341  |0 1 3 4 8  |0 1 4 7 8 
   0.013364574561819  4421311243  |0 1 2 7 8  |0 1 4 8 9 
   0.013364543486567  4431211342  |0 1 4 8 9  |0 1 2 7 8 
   0.013364401845091  2134424311  |0 3 4 5 6  |2 3 4 6 7 
   0.013364377206103  3124434211  |2 3 4 6 7  |0 3 4 5 6 
   0.013352233380161  4233412321  |0 1 4 6 8  |0 2 3 4 7 
  -0.013352182344305  4322413231  |0 2 3 4 7  |0 1 4 6 8 
   0.013352175078646  4223413231  |0 1 2 4 7  |0 3 4 6 8 
  -0.013352135322830  4332412321  |0 3 4 6 8  |0 1 2 4 7 
  -0.013286810639519  4441111234  |0 1 2 7 9  |0 1 2 8 9 
   0.013286804524512  4441111324  |0 1 2 8 9  |0 1 2 7 9 
  -0.013286800082885  1144442311  |2 3 4 5 6  |2 3 4 5 7 
   0.013286790149595  1144443211  |2 3 4 5 7  |2 3 4 5 6 
  -0.013215418529507  4134412411  |0 3 4 6 7  |0 2 3 4 7 
   0.013215417857537  4124413411  |0 2 3 4 7  |0 3 4 6 7 
  -0.013215365249129  4431411421  |0 1 4 7 8  |0 1 2 4 7 
   0.013215364503394  4421411431  |0 1 2 4 7  |0 1 4 7 8 
  -0.013208875796645  4114414231  |0 3 4 6 7  |0 3 4 6 8 
   0.013208863053177  4114414321  |0 3 4 6 8  |0 3 4 6 7 
  -0.013208853308336  4411412341  |0 1 4 6 8  |0 1 4 7 8 
   0.013208849728782  4411413241  |0 1 4 7 8  |0 1 4 6 8 
  -0.013159120753793  4432311223  |0 1 3 7 8  |0 1 2 4 9 
